# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2026-08-25 07:34:27 -04:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11181040 SAN LORENZO C A SAN LORENZO CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 11181040
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    9070        00060        00003      14888          Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#
agency_cd	site_no	datetime	9070_00060_00003	9070_00060_00003_cd
USGS	11181040	2000-11-15	5.50	A:e
USGS	11181040	2000-11-16	4.50	A:e
USGS	11181040	2000-11-17	4.00	A:e
USGS	11181040	2000-11-18	3.50	A:e
USGS	11181040	2000-11-19	3.20	A:e
USGS	11181040	2000-11-20	3.30	A:e
USGS	11181040	2000-11-21	14.0	A:e
USGS	11181040	2000-11-22	8.00	A:e
USGS	11181040	2000-11-23	3.80	A:e
USGS	11181040	2000-11-24	3.00	A:e
USGS	11181040	2000-11-25	3.00	A:e
USGS	11181040	2000-11-26	2.90	A:e
USGS	11181040	2000-11-27	5.00	A:e
USGS	11181040	2000-11-28	4.20	A:e
USGS	11181040	2000-11-29	45.0	A:e
USGS	11181040	2000-11-30	5.50	A:e
USGS	11181040	2000-12-01	3.60	A
USGS	11181040	2000-12-02	3.10	A
USGS	11181040	2000-12-03	3.20	A
USGS	11181040	2000-12-04	2.80	A
USGS	11181040	2000-12-05	3.20	A
USGS	11181040	2000-12-06	2.90	A
USGS	11181040	2000-12-07	2.90	A
USGS	11181040	2000-12-08	2.80	A
USGS	11181040	2000-12-09	2.90	A
USGS	11181040	2000-12-10	2.80	A
USGS	11181040	2000-12-11	13.0	A
USGS	11181040	2000-12-12	15.0	A
USGS	11181040	2000-12-13	14.0	A
USGS	11181040	2000-12-14	72.0	A
USGS	11181040	2000-12-15	56.0	A
USGS	11181040	2000-12-16	15.0	A
USGS	11181040	2000-12-17	9.40	A
USGS	11181040	2000-12-18	8.20	A
USGS	11181040	2000-12-19	8.00	A
USGS	11181040	2000-12-20	7.80	A
USGS	11181040	2000-12-21	7.30	A
USGS	11181040	2000-12-22	6.90	A
USGS	11181040	2000-12-23	6.70	A
USGS	11181040	2000-12-24	6.80	A
USGS	11181040	2000-12-25	6.90	A
USGS	11181040	2000-12-26	7.00	A
USGS	11181040	2000-12-27	6.40	A
USGS	11181040	2000-12-28	6.60	A
USGS	11181040	2000-12-29	6.60	A
USGS	11181040	2000-12-30	6.70	A
USGS	11181040	2000-12-31	6.80	A
USGS	11181040	2001-01-01	7.20	A
USGS	11181040	2001-01-02	7.10	A
USGS	11181040	2001-01-03	6.90	A
USGS	11181040	2001-01-04	6.90	A
USGS	11181040	2001-01-05	7.30	A
USGS	11181040	2001-01-06	7.10	A
USGS	11181040	2001-01-07	7.20	A
USGS	11181040	2001-01-08	41.0	A
USGS	11181040	2001-01-09	16.0	A
USGS	11181040	2001-01-10	147	A
USGS	11181040	2001-01-11	83.0	A
USGS	11181040	2001-01-12	37.0	A
USGS	11181040	2001-01-13	19.0	A
USGS	11181040	2001-01-14	17.0	A
USGS	11181040	2001-01-15	15.0	A
USGS	11181040	2001-01-16	14.0	A
USGS	11181040	2001-01-17	12.0	A
USGS	11181040	2001-01-18	11.0	A
USGS	11181040	2001-01-19	11.0	A
USGS	11181040	2001-01-20	11.0	A
USGS	11181040	2001-01-21	11.0	A
USGS	11181040	2001-01-22	9.10	A
USGS	11181040	2001-01-23	42.0	A
USGS	11181040	2001-01-24	46.0	A
USGS	11181040	2001-01-25	181	A
USGS	11181040	2001-01-26	90.0	A
USGS	11181040	2001-01-27	44.0	A
USGS	11181040	2001-01-28	26.0	A
USGS	11181040	2001-01-29	43.0	A
USGS	11181040	2001-01-30	24.0	A
USGS	11181040	2001-01-31	21.0	A
USGS	11181040	2001-02-01	20.0	A
USGS	11181040	2001-02-02	18.0	A
USGS	11181040	2001-02-03	18.0	A
USGS	11181040	2001-02-04	18.0	A
USGS	11181040	2001-02-05	18.0	A
USGS	11181040	2001-02-06	18.0	A
USGS	11181040	2001-02-07	19.0	A
USGS	11181040	2001-02-08	17.0	A
USGS	11181040	2001-02-09	77.0	A
USGS	11181040	2001-02-10	154	A
USGS	11181040	2001-02-11	255	A
USGS	11181040	2001-02-12	309	A
USGS	11181040	2001-02-13	101	A
USGS	11181040	2001-02-14	75.0	A
USGS	11181040	2001-02-15	63.0	A
USGS	11181040	2001-02-16	51.0	A
USGS	11181040	2001-02-17	97.0	A
USGS	11181040	2001-02-18	96.0	A
USGS	11181040	2001-02-19	115	A
USGS	11181040	2001-02-20	75.0	A
USGS	11181040	2001-02-21	75.0	A
USGS	11181040	2001-02-22	173	A
USGS	11181040	2001-02-23	159	A
USGS	11181040	2001-02-24	253	A
USGS	11181040	2001-02-25	119	A
USGS	11181040	2001-02-26	78.0	A
USGS	11181040	2001-02-27	56.0	A
USGS	11181040	2001-02-28	51.0	A
USGS	11181040	2001-03-01	49.0	A
USGS	11181040	2001-03-02	73.0	A
USGS	11181040	2001-03-03	59.0	A
USGS	11181040	2001-03-04	189	A
USGS	11181040	2001-03-05	151	A
USGS	11181040	2001-03-06	60.0	A
USGS	11181040	2001-03-07	41.0	A
USGS	11181040	2001-03-08	31.0	A
USGS	11181040	2001-03-09	25.0	A
USGS	11181040	2001-03-10	19.0	A
USGS	11181040	2001-03-11	18.0	A
USGS	11181040	2001-03-12	16.0	A
USGS	11181040	2001-03-13	12.0	A
USGS	11181040	2001-03-14	10.0	A
USGS	11181040	2001-03-15	9.00	A
USGS	11181040	2001-03-16	8.10	A
USGS	11181040	2001-03-17	7.90	A
USGS	11181040	2001-03-18	7.50	A
USGS	11181040	2001-03-19	8.30	A
USGS	11181040	2001-03-20	8.50	A
USGS	11181040	2001-03-21	8.80	A
USGS	11181040	2001-03-22	8.60	A
USGS	11181040	2001-03-23	8.30	A
USGS	11181040	2001-03-24	37.0	A
USGS	11181040	2001-03-25	41.0	A
USGS	11181040	2001-03-26	9.50	A
USGS	11181040	2001-03-27	7.60	A
USGS	11181040	2001-03-28	6.40	A
USGS	11181040	2001-03-29	5.90	A
USGS	11181040	2001-03-30	5.40	A
USGS	11181040	2001-03-31	5.00	A
USGS	11181040	2001-04-01	4.80	A
USGS	11181040	2001-04-02	4.40	A
USGS	11181040	2001-04-03	4.30	A
USGS	11181040	2001-04-04	4.00	A
USGS	11181040	2001-04-05	4.20	A
USGS	11181040	2001-04-06	16.0	A
USGS	11181040	2001-04-07	37.0	A
USGS	11181040	2001-04-08	6.70	A
USGS	11181040	2001-04-09	10.0	A
USGS	11181040	2001-04-10	5.20	A
USGS	11181040	2001-04-11	4.40	A
USGS	11181040	2001-04-12	4.20	A
USGS	11181040	2001-04-13	3.80	A
USGS	11181040	2001-04-14	3.80	A
USGS	11181040	2001-04-15	3.80	A
USGS	11181040	2001-04-16	3.70	A
USGS	11181040	2001-04-17	3.50	A
USGS	11181040	2001-04-18	3.70	A
USGS	11181040	2001-04-19	5.80	A
USGS	11181040	2001-04-20	54.0	A
USGS	11181040	2001-04-21	12.0	A
USGS	11181040	2001-04-22	4.80	A
USGS	11181040	2001-04-23	4.00	A
USGS	11181040	2001-04-24	3.50	A
USGS	11181040	2001-04-25	3.30	A
USGS	11181040	2001-04-26	3.00	A
USGS	11181040	2001-04-27	3.10	A
USGS	11181040	2001-04-28	3.00	A
USGS	11181040	2001-04-29	2.70	A
USGS	11181040	2001-04-30	2.50	A
USGS	11181040	2001-05-01	2.60	A
USGS	11181040	2001-05-02	2.30	A
USGS	11181040	2001-05-03	1.70	A
USGS	11181040	2001-05-04	1.60	A
USGS	11181040	2001-05-05	2.00	A
USGS	11181040	2001-05-06	2.10	A
USGS	11181040	2001-05-07	2.00	A
USGS	11181040	2001-05-08	1.90	A
USGS	11181040	2001-05-09	1.90	A
USGS	11181040	2001-05-10	2.00	A
USGS	11181040	2001-05-11	2.10	A
USGS	11181040	2001-05-12	2.20	A
USGS	11181040	2001-05-13	2.90	A
USGS	11181040	2001-05-14	2.90	A
USGS	11181040	2001-05-15	3.30	A
USGS	11181040	2001-05-16	3.50	A
USGS	11181040	2001-05-17	3.80	A
USGS	11181040	2001-05-18	4.10	A
USGS	11181040	2001-05-19	4.50	A
USGS	11181040	2001-05-20	4.50	A
USGS	11181040	2001-05-21	3.90	A:e
USGS	11181040	2001-05-22	3.40	A:e
USGS	11181040	2001-05-23	3.10	A:e
USGS	11181040	2001-05-24	2.90	A:e
USGS	11181040	2001-05-25	2.70	A:e
USGS	11181040	2001-05-26	2.50	A:e
USGS	11181040	2001-05-27	2.30	A:e
USGS	11181040	2001-05-28	2.20	A:e
USGS	11181040	2001-05-29	2.00	A:e
USGS	11181040	2001-05-30	1.90	A:e
USGS	11181040	2001-05-31	1.80	A:e
USGS	11181040	2001-06-01	1.60	A:e
USGS	11181040	2001-06-02	1.60	A:e
USGS	11181040	2001-06-03	1.60	A:e
USGS	11181040	2001-06-04	1.50	A:e
USGS	11181040	2001-06-05	1.50	A:e
USGS	11181040	2001-06-06	1.50	A:e
USGS	11181040	2001-06-07	1.40	A:e
USGS	11181040	2001-06-08	1.40	A:e
USGS	11181040	2001-06-09	1.40	A:e
USGS	11181040	2001-06-10	1.40	A:e
USGS	11181040	2001-06-11	1.40	A:e
USGS	11181040	2001-06-12	1.40	A:e
USGS	11181040	2001-06-13	1.30	A:e
USGS	11181040	2001-06-14	1.30	A:e
USGS	11181040	2001-06-15	1.30	A:e
USGS	11181040	2001-06-16	1.30	A:e
USGS	11181040	2001-06-17	1.30	A:e
USGS	11181040	2001-06-18	1.30	A:e
USGS	11181040	2001-06-19	1.30	A:e
USGS	11181040	2001-06-20	1.20	A:e
USGS	11181040	2001-06-21	1.20	A:e
USGS	11181040	2001-06-22	1.40	A:e
USGS	11181040	2001-06-23	1.60	A
USGS	11181040	2001-06-24	1.90	A
USGS	11181040	2001-06-25	8.00	A
USGS	11181040	2001-06-26	7.30	A
USGS	11181040	2001-06-27	4.50	A
USGS	11181040	2001-06-28	4.50	A
USGS	11181040	2001-06-29	4.30	A
USGS	11181040	2001-06-30	4.10	A
USGS	11181040	2001-07-01	3.40	A
USGS	11181040	2001-07-02	3.30	A
USGS	11181040	2001-07-03	3.10	A
USGS	11181040	2001-07-04	2.60	A
USGS	11181040	2001-07-05	2.40	A
USGS	11181040	2001-07-06	2.00	A
USGS	11181040	2001-07-07	1.90	A
USGS	11181040	2001-07-08	2.10	A
USGS	11181040	2001-07-09	2.00	A
USGS	11181040	2001-07-10	2.00	A
USGS	11181040	2001-07-11	2.20	A
USGS	11181040	2001-07-12	2.10	A
USGS	11181040	2001-07-13	2.20	A
USGS	11181040	2001-07-14	2.30	A
USGS	11181040	2001-07-15	2.40	A
USGS	11181040	2001-07-16	2.60	A
USGS	11181040	2001-07-17	4.00	A
USGS	11181040	2001-07-18	2.60	A
USGS	11181040	2001-07-19	2.40	A
USGS	11181040	2001-07-20	2.70	A
USGS	11181040	2001-07-21	2.90	A
USGS	11181040	2001-07-22	2.90	A
USGS	11181040	2001-07-23	2.90	A
USGS	11181040	2001-07-24	3.10	A
USGS	11181040	2001-07-25	2.90	A
USGS	11181040	2001-07-26	2.90	A:e
USGS	11181040	2001-07-27	2.80	A:e
USGS	11181040	2001-07-28	3.00	A
USGS	11181040	2001-07-29	3.60	A
USGS	11181040	2001-07-30	4.60	A
USGS	11181040	2001-07-31	6.10	A
USGS	11181040	2001-08-01	6.80	A
USGS	11181040	2001-08-02	7.50	A
USGS	11181040	2001-08-03	6.00	A:e
USGS	11181040	2001-08-04	5.20	A:e
USGS	11181040	2001-08-05	4.40	A:e
USGS	11181040	2001-08-06	3.30	A:e
USGS	11181040	2001-08-07	3.00	A:e
USGS	11181040	2001-08-08	2.80	A:e
